"client_id";"birth_number";"district_id";"sex"
1;701213;18;F
2;450204;1;M
3;401009;1;F
4;561201;5;M
5;600703;5;F
6;190922;12;M
7;290125;15;M
8;380221;51;F
9;351016;60;M
10;430501;57;M
11;500822;57;F
12;810220;40;M
13;740529;54;F
14;420622;76;F
15;180828;21;F
16;190225;21;M
17;341013;76;M
18;310405;76;F
19;421228;47;M
20;790104;46;M
21;521029;12;F
22;691011;1;F
23;730529;1;M
24;390729;43;F
25;390423;21;F
26;690420;74;F
27;660326;54;F
28;450929;1;M
29;510911;30;F
30;571009;74;F
31;620209;68;M
32;800728;52;M
33;481204;73;F
36;780717;7;F
37;700810;7;M
38;730723;36;F
39;680125;68;M
40;570122;5;F
41;680827;22;M
42;350817;68;M
43;201028;75;M
44;770111;38;F
45;520826;20;M
46;400130;19;F
47;340714;76;M
48;400209;16;M
49;590511;72;F
50;780730;39;F
51;791202;36;F
52;241212;32;M
53;770505;64;M
55;480918;45;F
56;600331;21;M
57;611217;21;F
58;270429;1;F
59;570218;1;M
60;800219;67;M
61;480806;16;F
62;321208;77;M
63;590604;4;M
64;260422;20;M
65;430527;50;F
66;511110;1;F
67;321111;29;F
68;461214;43;M
70;251222;70;M
71;270206;70;F
72;230113;47;M
73;240220;22;M
74;250726;22;F
75;770919;64;F
76;671001;36;F
77;560218;1;F
78;440613;16;F
79;690310;37;F
80;790225;64;F
81;760429;8;M
82;791225;8;F
83;781225;1;F
84;790505;1;M
85;610827;1;M
86;690720;1;F
87;461117;72;F
89;510505;1;F
90;750817;52;M
91;400807;63;M
92;660612;74;F
93;250216;3;M
94;470909;43;M
95;520803;43;F
96;720229;74;M
97;651128;26;M
98;730504;33;F
99;730126;33;M
100;420811;44;F
101;430123;68;M
102;580910;74;F
103;550711;74;M
105;800526;31;M
106;681230;68;F
107;720623;1;M
108;630913;17;M
110;670413;2;F
112;350125;1;M
113;400815;1;F
114;690624;74;F
115;691224;74;M
116;420128;74;M
117;360920;74;F
118;220719;55;M
119;220228;55;F
120;760510;1;M
121;781029;41;F
122;631113;35;F
123;690212;11;M
124;670921;44;M
125;361031;37;M
126;290927;37;F
127;501227;21;F
128;730404;63;F
129;470531;64;F
130;420214;53;M
131;770131;53;F
132;530126;36;M
134;320118;6;M
135;380910;6;F
136;210126;55;F
137;230914;60;M
138;721021;54;F
139;590725;8;F
140;610606;8;M
141;251102;31;M
142;370621;68;M
143;780709;27;M
144;581206;65;M
145;780214;55;M
146;611219;31;F
147;331102;21;F
148;401225;21;M
149;480627;55;M
150;800927;2;F
151;710923;51;F
152;451202;29;F
153;810212;13;F
154;330827;74;M
155;390313;74;F
156;300722;54;F
157;430709;52;F
158;450703;40;F
159;380910;40;M
160;420426;64;F
161;431007;34;F
162;411017;65;M
163;330612;74;M
164;620404;70;F
165;681108;22;M
166;611022;22;F
167;780418;38;F
168;761105;24;F
169;530912;38;M
170;460616;38;F
171;290625;51;M
172;351005;51;F
173;181208;21;F
174;781110;10;M
175;600713;31;M
176;290311;4;M
178;601222;8;M
179;801229;43;M
180;820119;73;M
181;670706;76;M
182;590713;76;F
183;780319;1;F
184;720605;1;M
185;540530;77;M
186;610222;46;F
187;420823;58;M
188;600902;64;M
189;190810;11;M
190;471031;37;F
191;540903;37;M
192;710228;70;M
193;620501;1;M
194;241220;28;F
195;191118;74;M
196;270625;74;F
197;330425;30;M
198;760714;60;M
199;230621;29;M
200;280113;29;F
201;300819;17;F
202;761121;29;F
203;620610;31;M
204;670617;31;F
205;420615;4;F
206;630413;59;F
207;320520;46;M
208;400625;13;F
209;350820;13;M
210;391130;66;M
211;450628;66;F
212;750210;52;M
215;670924;71;M
216;600130;1;M
217;741222;59;F
218;800123;1;F
219;640402;60;F
221;770225;21;F
222;720629;47;F
223;520227;43;F
224;550511;77;M
225;360510;32;M
226;420616;1;M
227;261218;52;F
228;560316;48;F
229;690722;76;M
230;670310;74;F
231;410218;41;M
232;210617;55;F
233;581203;69;F
234;550621;69;M
235;430828;44;F
236;610901;70;M
237;690222;70;F
238;611128;6;F
239;740910;1;F
240;290617;34;F
241;590123;70;M
242;610801;17;F
243;540210;63;M
246;701228;67;F
247;570508;1;M
248;691212;61;F
249;700505;61;M
250;791125;8;F
251;760303;54;F
252;690901;37;F
253;470512;48;F
254;630530;28;M
255;511011;27;F
256;630227;73;F
257;421104;22;F
258;370531;22;M
259;660608;31;M
260;620224;31;F
261;371207;38;F
262;451125;77;M
263;620520;68;M
264;780822;28;M
265;330107;72;F
266;670828;19;F
267;670612;37;M
268;820502;39;F
269;231203;15;F
270;470308;46;M
271;450727;46;F
272;441025;70;F
273;720515;27;F
274;701125;17;F
275;181112;1;F
276;570611;1;M
277;611128;1;F
278;721227;22;F
279;700516;22;M
280;691218;45;F
282;380224;73;F
283;331104;73;M
284;740806;10;M
285;540603;72;M
286;520418;72;F
287;800909;50;M
288;620421;6;M
289;580327;54;M
290;590112;72;M
291;550427;72;F
292;580906;15;F
293;430927;69;M
294;680321;58;M
295;390327;12;M
296;740301;65;M
297;240315;65;F
298;210613;65;M
300;570730;1;F
301;420110;28;M
302;710223;56;M
303;460506;74;M
304;340311;19;F
305;380608;46;M
308;760612;68;F
309;691214;37;F
310;500416;11;M
311;300916;64;F
312;240703;2;M
313;420511;24;F
314;450322;24;M
315;670501;54;M
316;550428;75;M
317;571006;64;F
318;430402;15;F
319;290404;19;F
320;341112;19;M
321;431024;47;F
322;330201;38;M
323;380404;38;F
324;601203;3;M
325;600221;3;M
326;670918;27;F
327;681013;27;M
328;180124;1;F
329;641203;11;M
330;440805;65;F
331;420302;1;M
332;780725;29;M
333;711019;38;M
334;691031;32;M
335;670722;73;F
336;640211;39;F
337;570508;39;M
338;510619;8;F
339;660730;1;M
340;700819;1;F
341;770316;69;M
342;720630;69;F
343;191119;44;M
344;630716;54;F
345;531207;17;M
346;601102;17;F
347;591213;71;M
348;530124;71;F
349;270527;39;F
350;250402;25;F
351;730501;1;M
352;400827;56;M
353;651026;7;M
354;220427;49;F
355;300531;49;M
356;791207;1;F
357;790330;1;M
358;590626;7;F
359;700216;66;M
360;430427;49;M
361;770525;74;F
362;500427;35;F
363;420701;35;M
364;421205;54;F
365;300109;1;M
366;361110;1;F
367;630903;60;F
368;681014;60;M
369;301106;7;F
370;560105;71;F
371;420716;4;M
372;320403;34;M
373;360228;16;M
374;670614;26;M
375;690929;61;F
376;730108;14;F
378;780515;50;M
379;831013;50;F
380;730119;41;M
381;770126;73;F
382;780630;73;M
383;390517;15;F
384;351008;15;M
385;480324;45;M
386;800821;62;M
387;270606;76;M
388;501030;36;F
389;740630;47;F
390;770127;47;F
391;330522;47;F
392;500401;74;F
393;560831;74;M
394;240518;52;F
395;190705;52;M
396;200502;1;M
397;300327;75;M
398;250326;61;F
399;520414;45;M
400;331227;1;M
401;281119;1;F
402;431225;3;M
403;730526;42;F
404;670420;42;M
405;341019;65;F
406;770515;36;M
407;750527;73;F
408;780222;35;F
409;250618;74;M
410;621220;62;M
411;410414;17;F
412;440417;17;M
413;721118;49;F
414;471019;46;F
415;450401;46;M
416;321007;1;F
417;300610;1;M
418;661013;28;M
419;701007;64;F
420;780313;18;M
421;650731;54;M
422;461207;69;M
